rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_range,train/approx_kl,train/clip_fraction,train/value_loss,train/loss,train/policy_gradient_loss,train/std,train/entropy_loss,train/n_updates,train/learning_rate,train/explained_variance
-92.14380645751953,288.0,1615,101,163840,40,0.2,0.0040968526,0.02509765625,12.803283405303954,5.233628273010254,-0.0028516393795143813,0.9958950281143188,-7.081963121891022,390,0.0003,0.9407826066017151
-92.1196060180664,288.0,1577,106,167936,41,0.2,0.0057958374,0.030224609375,18.96830153465271,8.787313461303711,-0.0032464047137182204,0.9936802983283997,-7.06649786233902,400,0.0003,0.9386703372001648
-92.08854675292969,288.0,1539,111,172032,42,0.2,0.0051058466,0.015478515625,16.76489942073822,8.117753028869629,-0.002813031105324626,0.9888461828231812,-7.051293528079986,410,0.0003,0.9406008124351501
-92.04715728759766,288.0,1496,117,176128,43,0.2,0.0048774597,0.0386474609375,17.418555283546446,7.880207538604736,-0.0036763593554496763,0.9899481534957886,-7.038462507724762,420,0.0003,0.9382135272026062
-92.03512573242188,288.0,1471,122,180224,44,0.2,0.0060506896,0.0489013671875,10.99425687789917,5.091109752655029,-0.004974849143764004,0.9908912777900696,-7.04651643037796,430,0.0003,0.9591888785362244
-91.9448013305664,288.0,1444,127,184320,45,0.2,0.0056260796,0.037890625,13.250490617752074,6.320063591003418,-0.003994130564387887,0.9888200759887695,-7.044890415668488,440,0.0003,0.9547435641288757
-91.89411926269531,288.0,1458,129,188416,46,0.2,0.0056713894,0.0263916015625,14.29144229888916,6.139613151550293,-0.0029785603343043475,0.9916054606437683,-7.043125796318054,450,0.0003,0.9600782990455627
-91.75476837158203,288.0,1473,130,192512,47,0.2,0.0041257176,0.0150390625,13.033540868759156,6.041712284088135,-0.0027406013221479954,0.9914687871932983,-7.054215228557586,460,0.0003,0.9521544575691223
-91.62309265136719,288.0,1486,132,196608,48,0.2,0.00504382,0.032421875,12.495457768440247,6.373545169830322,-0.003072523063747212,0.9901895523071289,-7.048931539058685,470,0.0003,0.9649801850318909
-91.61701202392578,288.0,1501,133,200704,49,0.2,0.0055901026,0.0356689453125,7.834285509586334,3.53558349609375,-0.0033743021747795867,0.9871923327445984,-7.037876105308532,480,0.0003,0.9719992876052856
-91.57704162597656,288.0,1513,135,204800,50,0.2,0.005001073,0.0214599609375,11.555477094650268,5.10780143737793,-0.0028475854371208696,0.9910677671432495,-7.038637125492096,490,0.0003,0.9695022702217102
-91.47643280029297,288.0,1525,136,208896,51,0.2,0.003951985,0.0193115234375,9.466174411773682,4.360350608825684,-0.0019963958766311407,0.9938820004463196,-7.057930040359497,500,0.0003,0.9736207127571106
-91.41678619384766,288.0,1539,138,212992,52,0.2,0.005065969,0.02880859375,9.998192644119262,4.58036994934082,-0.0032236340688541532,0.994530975818634,-7.06595162153244,510,0.0003,0.9717419147491455
-91.42915344238281,288.0,1550,140,217088,53,0.2,0.0057818266,0.0384765625,6.6440006494522095,2.8504021167755127,-0.004184711488778703,0.9948636293411255,-7.068991851806641,520,0.0003,0.9811400771141052
-91.38776397705078,288.0,1562,141,221184,54,0.2,0.005010199,0.029052734375,7.0053956508636475,3.0851857662200928,-0.004186150210443884,0.9938638806343079,-7.066259610652923,530,0.0003,0.9797890186309814
-91.38231658935547,288.0,1572,143,225280,55,0.2,0.0051024626,0.0299560546875,7.640593087673187,3.5384058952331543,-0.0038032682670745997,0.9976739883422852,-7.069930791854858,540,0.0003,0.9818316102027893
-91.31912994384766,288.0,1584,144,229376,56,0.2,0.0049948306,0.02734375,7.049848747253418,2.8020052909851074,-0.002552850649226457,0.9967373013496399,-7.081670463085175,550,0.0003,0.9783105850219727
-91.39593505859375,288.0,1597,146,233472,57,0.2,0.0061615976,0.03291015625,7.430172538757324,3.289482831954956,-0.002732839994132519,0.9942486882209778,-7.071517479419708,560,0.0003,0.9826875925064087
-91.33306884765625,288.0,1610,147,237568,58,0.2,0.004482904,0.0460693359375,4.957272523641587,2.3355138301849365,-0.0029481710720574484,0.9913569688796997,-7.057699251174927,570,0.0003,0.9858649969100952
-91.2892074584961,288.0,1621,149,241664,59,0.2,0.0052427403,0.0394287109375,6.4749110579490665,2.6344423294067383,-0.0030497873260173945,0.9893015623092651,-7.045665574073792,580,0.0003,0.9845070838928223
-91.2250747680664,288.0,1627,151,245760,60,0.2,0.005134563,0.01318359375,4.879387831687927,1.9753509759902954,-0.0017656297073699533,0.9869014620780945,-7.034112024307251,590,0.0003,0.9878658056259155
-91.25212097167969,288.0,1638,152,249856,61,0.2,0.0042906655,0.0371337890625,5.6797472655773165,1.9888520240783691,-0.003110642888350412,0.9875906109809875,-7.029394328594208,600,0.0003,0.9852190017700195
-91.26757049560547,288.0,1651,153,253952,62,0.2,0.0047424207,0.0432373046875,4.270902687311173,1.6865832805633545,-0.003826766193378717,0.9869853854179382,-7.028918814659119,610,0.0003,0.9900532364845276
-91.18370819091797,288.0,1662,155,258048,63,0.2,0.0044913683,0.050048828125,4.0070960342884065,1.7175438404083252,-0.003969610575586558,0.9843685030937195,-7.02103842496872,620,0.0003,0.9898418188095093
-91.1509780883789,288.0,1675,156,262144,64,0.2,0.0050279424,0.0380859375,4.175512808561325,2.0133049488067627,-0.002606875344645232,0.9817635416984558,-7.007806825637817,630,0.0003,0.9908891916275024
-91.14990997314453,288.0,1686,157,266240,65,0.2,0.0043544983,0.0322509765625,3.874698984622955,1.6659585237503052,-0.003428201930364594,0.9809423685073853,-6.997796273231506,640,0.0003,0.988795816898346
-91.1274185180664,288.0,1698,159,270336,66,0.2,0.0040932917,0.0113525390625,4.176713281869889,1.8403078317642212,-0.001970402803272009,0.9845182299613953,-7.0043136239051815,650,0.0003,0.9908334016799927
-91.0636215209961,288.0,1709,160,274432,67,0.2,0.00548961,0.05009765625,3.2424913108348847,1.1637721061706543,-0.004161308769835159,0.9862421751022339,-7.017758905887604,660,0.0003,0.9920284152030945
-91.04987335205078,288.0,1720,161,278528,68,0.2,0.005649174,0.0329345703125,3.9246770203113557,1.7075811624526978,-0.002416113967774436,0.9858967065811157,-7.022206246852875,670,0.0003,0.9914247989654541
-90.9986343383789,288.0,1730,163,282624,69,0.2,0.006518647,0.04189453125,2.677164649963379,1.3046149015426636,-0.00562130351900123,0.9867032170295715,-7.019136226177215,680,0.0003,0.9939070343971252
-90.93565368652344,288.0,1740,164,286720,70,0.2,0.006195926,0.0501708984375,3.494446671009064,2.017911911010742,-0.0030734828964341433,0.9824018478393555,-7.013970303535461,690,0.0003,0.991562008857727
-90.89907836914062,288.0,1751,166,290816,71,0.2,0.0054299575,0.03837890625,3.0537847578525543,1.0793938636779785,-0.002582417879602872,0.9811983108520508,-6.995132100582123,700,0.0003,0.9936973452568054
-90.80130767822266,288.0,1756,167,294912,72,0.2,0.0069966204,0.0804931640625,2.66737177670002,1.209965467453003,-0.004303526098374278,0.9811066389083862,-6.994702601432801,710,0.0003,0.9938103556632996
-90.7828598022461,288.0,1761,169,299008,73,0.2,0.0071192277,0.0620849609375,2.261805760860443,1.0719423294067383,-0.004997615405591205,0.9745566248893738,-6.979480969905853,720,0.0003,0.9954888820648193
-90.73702239990234,288.0,1765,171,303104,74,0.2,0.0059243473,0.05009765625,2.0933883249759675,0.968599796295166,-0.0027326386189088225,0.9729232788085938,-6.953569960594177,730,0.0003,0.9937863945960999
-90.721435546875,288.0,1769,173,307200,75,0.2,0.006497176,0.0428955078125,2.63812375664711,1.6026943922042847,-0.0025178320880513637,0.9720169305801392,-6.949639475345611,740,0.0003,0.9945262670516968
-90.71637725830078,288.0,1772,175,311296,76,0.2,0.005652668,0.0712646484375,2.3186533987522124,1.2086098194122314,-0.0033413889002986254,0.9685919880867004,-6.936760175228119,750,0.0003,0.9949421286582947
-90.73416900634766,288.0,1776,177,315392,77,0.2,0.004614383,0.0382568359375,2.4418289035558702,0.8405125737190247,-0.0029462823236826806,0.9702781438827515,-6.93161119222641,760,0.0003,0.9948961734771729
-90.73149108886719,288.0,1780,179,319488,78,0.2,0.006485061,0.0530517578125,1.41469606757164,0.5667563676834106,-0.0036686808947706596,0.9646314382553101,-6.928979384899139,770,0.0003,0.9969298243522644
-90.74555969238281,288.0,1783,181,323584,79,0.2,0.006120845,0.0589599609375,2.1225431680679323,0.5951797962188721,-0.00311340291518718,0.9595017433166504,-6.893386375904083,780,0.0003,0.9951187968254089
-90.74787902832031,288.0,1783,183,327680,80,0.2,0.007939321,0.07138671875,2.0532587975263596,0.9455859661102295,-0.0034952839429024606,0.9575291872024536,-6.8787302613258365,790,0.0003,0.9960284233093262
-90.74798583984375,288.0,1787,185,331776,81,0.2,0.0055457796,0.0597412109375,1.9201213270425797,0.8666413426399231,-0.0023855590756284074,0.9564987421035767,-6.87299165725708,800,0.0003,0.9958891272544861
-90.7428970336914,288.0,1791,187,335872,82,0.2,0.0046949247,0.0307861328125,1.5344662889838219,0.6876364350318909,-0.0020871247572358696,0.9555155038833618,-6.8654721021652225,810,0.0003,0.9969650506973267
-90.75215911865234,288.0,1793,189,339968,83,0.2,0.009007851,0.08193359375,1.4046586856245995,0.7532427906990051,-0.0053559085936285555,0.9530304074287415,-6.855808699131012,820,0.0003,0.9959380626678467
-90.7523422241211,288.0,1797,191,344064,84,0.2,0.007307005,0.039501953125,1.797410073876381,1.138617753982544,-0.002044773180386983,0.9546327590942383,-6.8540700554847716,830,0.0003,0.9964929223060608
-90.78654479980469,288.0,1798,193,348160,85,0.2,0.0043258322,0.050390625,1.799522729218006,0.42628371715545654,-0.0028610317822312936,0.9506126642227173,-6.850549423694611,840,0.0003,0.9962598085403442
-90.78117370605469,288.0,1801,195,352256,86,0.2,0.006255491,0.050439453125,1.8098904341459274,0.8985738754272461,-0.0043595763097982855,0.9478441476821899,-6.829402768611908,850,0.0003,0.9964163303375244
-90.84333801269531,288.0,1798,198,356352,87,0.2,0.008671195,0.0742919921875,1.0082822926342487,0.3389316499233246,-0.003967573182308115,0.944057285785675,-6.814025270938873,860,0.0003,0.9978986978530884
-90.89250946044922,288.0,1770,203,360448,88,0.2,0.0070103155,0.0542236328125,1.6141719207167626,0.9003324508666992,-0.0036731863976456223,0.9420360326766968,-6.7973105072975155,870,0.0003,0.9965185523033142
-90.93464660644531,288.0,1683,216,364544,89,0.2,0.005706178,0.0495361328125,1.5237760201096535,0.7220461368560791,-0.0026980613823980094,0.9416967630386353,-6.790307641029358,880,0.0003,0.9971757531166077
-90.99051666259766,288.0,1648,223,368640,90,0.2,0.0056889383,0.0336669921875,1.5136335626244546,0.7604762315750122,-0.002119780704379082,0.9422810673713684,-6.788592863082886,890,0.0003,0.9968167543411255
-91.04013061523438,288.0,1624,229,372736,91,0.2,0.007285897,0.064794921875,1.1991962850093842,0.578822672367096,-0.0037568674248177557,0.9378656148910522,-6.7814306855201725,900,0.0003,0.9977544546127319
-91.07403564453125,288.0,1594,236,376832,92,0.2,0.0063423165,0.04921875,1.0956855088472366,0.5114514827728271,-0.0030792471196036788,0.9347085952758789,-6.760184788703919,910,0.0003,0.9967666864395142
-91.09452819824219,288.0,1568,242,380928,93,0.2,0.007209905,0.0472900390625,1.413355866074562,0.749196469783783,-0.0023152219713665546,0.9325950741767883,-6.7468314409255985,920,0.0003,0.9971907138824463
-91.08685302734375,288.0,1547,248,385024,94,0.2,0.007066059,0.0352783203125,1.3873299479484558,0.7094893455505371,-0.0025910693570040167,0.9345818758010864,-6.742943775653839,930,0.0003,0.9972259402275085
-91.06625366210938,288.0,1515,256,389120,95,0.2,0.0052674683,0.03544921875,1.4175172209739686,0.7948835492134094,-0.001753714570077136,0.9335772395133972,-6.749995386600494,940,0.0003,0.9972086548805237
-91.12922668457031,288.0,1496,262,393216,96,0.2,0.0061502205,0.03291015625,0.8078843861818313,0.4135516285896301,-0.0030235346348490566,0.9329525828361511,-6.742959129810333,950,0.0003,0.9983617067337036
-91.13626098632812,288.0,1467,270,397312,97,0.2,0.009071911,0.055224609375,1.2279656931757927,0.5814879536628723,-0.004874910274520516,0.9328407049179077,-6.741793763637543,960,0.0003,0.9973911643028259
-91.1865234375,288.0,1449,276,401408,98,0.2,0.0047296444,0.0385009765625,1.2222833603620529,0.6472223997116089,-0.002296809130348265,0.933857798576355,-6.74425288438797,970,0.0003,0.9977731704711914
-91.2021713256836,288.0,1438,281,405504,99,0.2,0.0070413253,0.0425537109375,1.1861565485596657,0.46784546971321106,-0.0035693787212949246,0.9309403300285339,-6.7404097557067875,980,0.0003,0.9975438117980957
-91.2234878540039,288.0,1429,286,409600,100,0.2,0.0076871035,0.048388671875,0.9724039644002914,0.4220882058143616,-0.004030506717390381,0.9321537017822266,-6.733005917072296,990,0.0003,0.9981253743171692
-91.2790756225586,288.0,1411,293,413696,101,0.2,0.006970114,0.0382080078125,0.9111857146024704,0.4725642204284668,-0.00191772015823517,0.9327374696731567,-6.739767634868622,1000,0.0003,0.997439444065094
-91.35894775390625,288.0,1401,298,417792,102,0.2,0.008924975,0.03935546875,1.1361418157815932,0.6849626302719116,-0.0030619650962762533,0.9301522374153137,-6.736071503162384,1010,0.0003,0.9977766871452332
-91.29986572265625,288.0,1388,303,421888,103,0.2,0.0048395377,0.0454345703125,1.1150681108236313,0.5916354656219482,-0.001182328464346938,0.9264215230941772,-6.717405426502228,1020,0.0003,0.9978026151657104
-91.31658172607422,288.0,1376,309,425984,104,0.2,0.0050951717,0.0282470703125,1.13745459318161,0.512428879737854,-0.002503189188428223,0.9248270988464355,-6.7024096846580505,1030,0.0003,0.9978088736534119
-91.24354553222656,288.0,1367,314,430080,105,0.2,0.006247443,0.09013671875,0.6778141379356384,0.27761444449424744,-0.005528137710643932,0.9211145639419556,-6.687410640716553,1040,0.0003,0.9986252188682556
-91.22552490234375,288.0,1359,319,434176,106,0.2,0.0071448367,0.048681640625,1.0690929472446442,0.48129361867904663,-0.004043073032516986,0.9190976023674011,-6.671705257892609,1050,0.0003,0.9977408647537231
-91.16181945800781,288.0,1355,323,438272,107,0.2,0.0063179787,0.0533447265625,1.0105666771531105,0.48769205808639526,-0.004159761911432724,0.9180916547775269,-6.66522570848465,1060,0.0003,0.998167097568512
-91.07295989990234,288.0,1353,326,442368,108,0.2,0.0053976737,0.0348388671875,1.044093331694603,0.5742595791816711,-0.0021619284379994497,0.9153871536254883,-6.654523587226867,1070,0.0003,0.9978336691856384
-91.03748321533203,288.0,1351,330,446464,109,0.2,0.00794226,0.0423095703125,0.839648762345314,0.47450852394104004,-0.004503062972798943,0.9137119054794312,-6.641025424003601,1080,0.0003,0.9984525442123413
-90.89997863769531,288.0,1344,335,450560,110,0.2,0.008702315,0.05341796875,0.7660164445638656,0.3907777667045593,-0.00498359069461003,0.910741925239563,-6.628634679317474,1090,0.0003,0.9979650378227234
-90.79945373535156,288.0,1337,340,454656,111,0.2,0.004420024,0.024169921875,0.9788562059402466,0.5521243214607239,-0.0018920778209576383,0.9088841676712036,-6.616081428527832,1100,0.0003,0.9981475472450256
-90.69697570800781,288.0,1329,345,458752,112,0.2,0.0061095315,0.0296630859375,0.9320798739790916,0.42131027579307556,-0.0016791400441434235,0.9102252125740051,-6.613402187824249,1110,0.0003,0.9981546998023987
-90.6930160522461,288.0,1321,350,462848,113,0.2,0.005729603,0.05205078125,0.967596884071827,0.4905138909816742,-0.004172395239584148,0.9093653559684753,-6.615723598003387,1120,0.0003,0.9981200098991394
-90.698486328125,288.0,1305,357,466944,114,0.2,0.005076197,0.0577880859375,0.6166595049202442,0.4325302541255951,-0.002976251533254981,0.9084156155586243,-6.611298167705536,1130,0.0003,0.9987502694129944
